### QueryPerformanceFrequency = 10000000 Hz ###
6269119594563,arrve=,0x00000000005203B1, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119595982,arrve=,0x0000000022D20CF5, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119596955,arrve=,0x0000000006750CDD, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119597837,arrve=,0x0000000000020049, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119598590,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119599472,arrve=,0x0000000000020260, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119600408,arrve=,0x0000000000020047, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119601139,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269156230850,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914250 0)
6269157473680,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914375 0)
6269157476619,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914375 0)
6269157790841,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914406 0)
6269158562393,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914484 0)
6269159803349,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914609 0)
6269160263903,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914656 0)
6269164432105,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915062 0)
6269165980240,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915218 0)
6269167695922,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915390 0)
6269168784084,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915500 0)
6269170659414,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915687 0)
6269171420445,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915765 0)
6269173146061,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626915937 0)
6269174069528,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626916031 0)
