### QueryPerformanceFrequency = 10000000 Hz ###
3113613754,arrve=,0x000000000001048F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113614662,arrve=,0x00000000000501C9, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615282,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615849,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616395,arrve=,0x0000000000020051, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616927,arrve=,0x0000000000020053, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617452,arrve=,0x000000000002004F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617969,arrve=,0x0000000000020055, =,, =,, =,, =,, os=,(827 260 311125 0)
3289963642,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328750 0)
3291054738,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328859 0)
3291207736,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328875 0)
3292130754,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328968 0)
3292603937,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329015 0)
3293532542,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329109 0)
3293846740,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329140 0)
3294466029,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329203 0)
3294623402,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329218 0)
3295397276,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329296 0)
3295555316,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329312 0)
